"delivery_date","hour_ending","qse_name","settlement_point_source","settlement_point_sink","mw","price","offer_id","multi_hour_block_indicator","crr_id","p_posted_date"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","39.8","0.0","151728470_1","N","151728470","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","54.6","0.0","136198491_1","N","136198491","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","54.6","0.0","136198497_1","N","136198497","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","66.7","0.0","151728454_1","N","151728454","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","69.3","0.0","177830189_1","N","177830189","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","84.9","0.0","177830210_1","N","177830210","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","0.2","20.0","129521627_2","N","129521627","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","0.2","20.0","143641255_2","N","143641255","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","0.2","20.0","143641295_2","N","143641295","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","0.2","20.0","151785571_2","N","151785571","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","0.2","20.0","160016899_2","N","160016899","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","0.2","20.0","177883044_2","N","177883044","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","0.4","20.0","160016940_2","N","160016940","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","0.6","20.0","177883049_2","N","177883049","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","0.6","20.0","177883064_2","N","177883064","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","0.6","20.0","177883143_2","N","177883143","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","0.6","20.0","177883174_2","N","177883174","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","0.9","20.0","177883084_2","N","177883084","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","0.9","20.0","177883113_2","N","177883113","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","2.2","0.0","129521627_1","N","129521627","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","2.2","0.0","143641255_1","N","143641255","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","2.2","0.0","143641295_1","N","143641295","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","2.2","0.0","151785571_1","N","151785571","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","2.2","0.0","160016899_1","N","160016899","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","2.2","0.0","177883044_1","N","177883044","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","3.2","0.0","160016940_1","N","160016940","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","5.4","0.0","177883049_1","N","177883049","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","5.4","0.0","177883064_1","N","177883064","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","5.4","0.0","177883143_1","N","177883143","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","5.4","0.0","177883174_1","N","177883174","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","8.1","0.0","177883084_1","N","177883084","2024-12-01"
"10/02/2024","1","QCPSE1","PENA_ALL","LZ_CPS","8.1","0.0","177883113_1","N","177883113","2024-12-01"
"10/02/2024","1","QCPSE1","PAP1_PAP1","LZ_CPS","5.4","20.0","129521625_1","N","129521625","2024-12-01"
"10/02/2024","1","QCPSE1","PAP1_PAP1","LZ_CPS","5.4","20.0","143641254_1","N","143641254","2024-12-01"
"10/02/2024","1","QCPSE1","PAP1_PAP1","LZ_CPS","5.4","20.0","143641294_1","N","143641294","2024-12-01"
"10/02/2024","1","QCPSE1","PAP1_PAP1","LZ_CPS","5.4","20.0","160016865_1","N","160016865","2024-12-01"
"10/02/2024","1","QCPSE1","PAP1_PAP1","LZ_CPS","5.4","20.0","160016898_1","N","160016898","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","0.3","20.0","177883114_2","N","177883114","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","0.4","20.0","177883144_2","N","177883144","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","0.4","20.0","177883175_2","N","177883175","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","0.6","20.0","136206341_2","N","136206341","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","0.6","20.0","136206381_2","N","136206381","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","0.6","20.0","143641296_2","N","143641296","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","0.6","20.0","151785572_2","N","151785572","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","0.6","20.0","160016900_2","N","160016900","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","2.3","0.0","177883114_1","N","177883114","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","3.8","0.0","177883144_1","N","177883144","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","3.8","0.0","177883175_1","N","177883175","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","5.6","0.0","136206341_1","N","136206341","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","5.6","0.0","136206381_1","N","136206381","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","5.6","0.0","143641296_1","N","143641296","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","5.6","0.0","151785572_1","N","151785572","2024-12-01"
"10/02/2024","1","QCPSE1","LV1A_LV1B","LZ_CPS","5.6","0.0","160016900_1","N","160016900","2024-12-01"
"10/02/2024","1","QCPSE1","INDNENR_1_RN","LZ_CPS","0.2","20.0","151785533_1","N","151785533","2024-12-01"
"10/02/2024","1","QCPSE1","INDNENR_1_RN","LZ_CPS","2.7","20.0","129521697_1","N","129521697","2024-12-01"
"10/02/2024","1","QCPSE1","INDNENR_1_RN","LZ_CPS","4.2","20.0","151785464_1","N","151785464","2024-12-01"
"10/02/2024","1","QCPSE1","INDNENR_1_RN","LZ_CPS","4.2","20.0","151785538_1","N","151785538","2024-12-01"
"10/02/2024","1","QCPSE1","INDNENR_1_RN","LZ_CPS","4.2","20.0","151785568_1","N","151785568","2024-12-01"
"10/02/2024","1","QCPSE1","INDNENR_1_RN","LZ_CPS","5.4","20.0","129521623_1","N","129521623","2024-12-01"
"10/02/2024","1","QCPSE1","INDNENR_1_RN","LZ_CPS","6.4","20.0","151785512_1","N","151785512","2024-12-01"
"10/02/2024","1","QCPSE1","GUADG_CCU1","LZ_CPS","0.4","20.0","159960100_2","N","159960100","2024-12-01"
"10/02/2024","1","QCPSE1","GUADG_CCU1","LZ_CPS","0.6","20.0","151728455_2","N","151728455","2024-12-01"
"10/02/2024","1","QCPSE1","GUADG_CCU1","LZ_CPS","0.6","20.0","151728471_2","N","151728471","2024-12-01"
"10/02/2024","1","QCPSE1","GUADG_CCU1","LZ_CPS","0.6","20.0","151728518_2","N","151728518","2024-12-01"
"10/02/2024","1","QCPSE1","GUADG_CCU1","LZ_CPS","0.6","20.0","151728531_2","N","151728531","2024-12-01"
"10/02/2024","1","QCPSE1","GUADG_CCU1","LZ_CPS","7.4","0.0","159960100_1","N","159960100","2024-12-01"
"10/02/2024","1","QCPSE1","GUADG_CCU1","LZ_CPS","11.7","0.0","151728455_1","N","151728455","2024-12-01"
"10/02/2024","1","QCPSE1","GUADG_CCU1","LZ_CPS","11.7","0.0","151728471_1","N","151728471","2024-12-01"
"10/02/2024","1","QCPSE1","GUADG_CCU1","LZ_CPS","11.7","0.0","151728518_1","N","151728518","2024-12-01"
"10/02/2024","1","QCPSE1","GUADG_CCU1","LZ_CPS","11.7","0.0","151728531_1","N","151728531","2024-12-01"
"10/02/2024","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","0.1","20.0","169283896_2","N","169283896","2024-12-01"
"10/02/2024","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","0.5","0.0","169283896_1","N","169283896","2024-12-01"
"10/02/2024","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","1.0","20.0","160016864_2","N","160016864","2024-12-01"
"10/02/2024","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","1.2","20.0","143641229_2","N","143641229","2024-12-01"
"10/02/2024","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","1.2","20.0","143641252_2","N","143641252","2024-12-01"
"10/02/2024","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","1.2","20.0","143641292_2","N","143641292","2024-12-01"
"10/02/2024","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","1.2","20.0","169283868_2","N","169283868","2024-12-01"
"10/02/2024","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","1.7","20.0","177883083_2","N","177883083","2024-12-01"
"10/02/2024","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","1.7","20.0","177883112_2","N","177883112","2024-12-01"
"10/02/2024","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","8.8","0.0","160016864_1","N","160016864","2024-12-01"
"10/02/2024","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","10.4","0.0","169283868_1","N","169283868","2024-12-01"
"10/02/2024","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","11.0","0.0","143641229_1","N","143641229","2024-12-01"
"10/02/2024","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","11.0","0.0","143641252_1","N","143641252","2024-12-01"
